save model time:1911_181832 step:80000, var:0.40466333858060266 collision_cnt 0
save model time:1911_181839 step:90000, var:0.3313096573102676 collision_cnt 0
save model time:1911_181845 step:100000, var:0.2712528627180879 collision_cnt 0
save model time:1911_181846 step:80000, var:0.40466333858060266 collision_cnt 532
save model time:1911_181852 step:110000, var:0.22208261639609686 collision_cnt 0
save model time:1911_181855 step:90000, var:0.3313096573102676 collision_cnt 574
save model time:1911_181858 step:120000, var:0.18182550411124734 collision_cnt 0
save model time:1911_181904 step:100000, var:0.2712528627180879 collision_cnt 638
save model time:1911_181905 step:130000, var:0.14886583417381982 collision_cnt 0
save model time:1911_181911 step:140000, var:0.1218807927556105 collision_cnt 0
save model time:1911_181913 step:110000, var:0.22208261639609686 collision_cnt 677
save model time:1911_181918 step:150000, var:0.09978735366095494 collision_cnt 0
save model time:1911_181922 step:120000, var:0.18182550411124734 collision_cnt 733
save model time:1911_181925 step:160000, var:0.08169881181051021 collision_cnt 0
save model time:1911_181931 step:130000, var:0.14886583417381982 collision_cnt 777
save model time:1911_181932 step:170000, var:0.0799994090870214 collision_cnt 0
save model time:1911_181938 step:180000, var:0.0799994090870214 collision_cnt 0
save model time:1911_181940 step:140000, var:0.1218807927556105 collision_cnt 823
save model time:1911_181945 step:190000, var:0.0799994090870214 collision_cnt 0
save model time:1911_181949 step:150000, var:0.09978735366095494 collision_cnt 887
save model time:1911_181951 step:200000, var:0.0799994090870214 collision_cnt 0
save model time:1911_181958 step:210000, var:0.0799994090870214 collision_cnt 0
save model time:1911_181958 step:160000, var:0.08169881181051021 collision_cnt 935
save model time:1911_182004 step:220000, var:0.0799994090870214 collision_cnt 0
save model time:1911_182008 step:230000, var:0.0799994090870214 collision_cnt 0
save model time:1911_182014 step:240000, var:0.0799994090870214 collision_cnt 0
