save model time:1911_181235 step:75600, var:1.1734187680778445 collision_cnt 0
save model time:1911_181236 step:75950, var:1.1717771279354852 collision_cnt 0
save model time:1911_181236 step:76300, var:1.17013778448586 collision_cnt 0
save model time:1911_181236 step:76650, var:1.1685007345158416 collision_cnt 0
save model time:1911_181236 step:77000, var:1.1668659748167958 collision_cnt 0
save model time:1911_181236 step:77350, var:1.1652335021845837 collision_cnt 0
save model time:1911_181237 step:77700, var:1.1636033134195427 collision_cnt 0
save model time:1911_181237 step:78050, var:1.161975405326493 collision_cnt 0
save model time:1911_181237 step:78400, var:1.1603497747147196 collision_cnt 0
save model time:1911_181237 step:78750, var:1.1587264183979733 collision_cnt 0
save model time:1911_181237 step:79100, var:1.1571053331944634 collision_cnt 0
save model time:1911_181237 step:79450, var:1.1554865159268477 collision_cnt 0
save model time:1911_181238 step:79800, var:1.153869963422235 collision_cnt 0
save model time:1911_181238 step:80150, var:1.1522556725121633 collision_cnt 0
save model time:1911_181238 step:80500, var:1.1506436400326103 collision_cnt 0
save model time:1911_181238 step:80850, var:1.1490338628239831 collision_cnt 0
save model time:1911_181238 step:81200, var:1.1474263377311051 collision_cnt 0
save model time:1911_181239 step:81550, var:1.1458210616032107 collision_cnt 0
save model time:1911_181239 step:81900, var:1.1442180312939476 collision_cnt 0
save model time:1911_181239 step:82250, var:1.142617243661363 collision_cnt 0
save model time:1911_181239 step:82600, var:1.1410186955678978 collision_cnt 0
save model time:1911_181239 step:82950, var:1.1394223838803872 collision_cnt 0
save model time:1911_181239 step:83300, var:1.1378283054700469 collision_cnt 0
save model time:1911_181240 step:83650, var:1.1362364572124712 collision_cnt 0
save model time:1911_181240 step:84000, var:1.134646835987622 collision_cnt 0
save model time:1911_181240 step:84350, var:1.1330594386798327 collision_cnt 0
save model time:1911_181240 step:84700, var:1.1314742621777878 collision_cnt 0
save model time:1911_181240 step:85050, var:1.1298913033745306 collision_cnt 0
save model time:1911_181241 step:85400, var:1.1283105591674465 collision_cnt 0
save model time:1911_181241 step:85750, var:1.1267320264582659 collision_cnt 0
save model time:1911_181241 step:86100, var:1.1251557021530527 collision_cnt 0
save model time:1911_181241 step:86450, var:1.1235815831621954 collision_cnt 0
save model time:1911_181241 step:86800, var:1.122009666400413 collision_cnt 0
save model time:1911_181241 step:87150, var:1.1204399487867316 collision_cnt 0
save model time:1911_181242 step:87500, var:1.118872427244492 collision_cnt 0
save model time:1911_181242 step:87850, var:1.1173070987013394 collision_cnt 0
save model time:1911_181242 step:88200, var:1.1157439600892194 collision_cnt 0
save model time:1911_181242 step:88550, var:1.1141830083443651 collision_cnt 0
save model time:1911_181242 step:88900, var:1.1126242404072988 collision_cnt 0
save model time:1911_181243 step:89250, var:1.1110676532228223 collision_cnt 0
save model time:1911_181243 step:89600, var:1.1095132437400115 collision_cnt 0
save model time:1911_181243 step:89950, var:1.1079610089122145 collision_cnt 0
save model time:1911_181243 step:90300, var:1.1064109456970368 collision_cnt 0
save model time:1911_181243 step:90650, var:1.104863051056339 collision_cnt 0
save model time:1911_181244 step:91000, var:1.1033173219562393 collision_cnt 0
save model time:1911_181244 step:91350, var:1.101773755367094 collision_cnt 0
save model time:1911_181244 step:91700, var:1.1002323482634986 collision_cnt 0
save model time:1911_181244 step:92050, var:1.098693097624285 collision_cnt 0
save model time:1911_181244 step:92400, var:1.0971560004325067 collision_cnt 0
save model time:1911_181245 step:92750, var:1.0956210536754416 collision_cnt 0
save model time:1911_181245 step:93100, var:1.0940882543445838 collision_cnt 0
save model time:1911_181245 step:93450, var:1.0925575994356322 collision_cnt 0
save model time:1911_181245 step:93800, var:1.0910290859484908 collision_cnt 0
save model time:1911_181245 step:94150, var:1.0895027108872606 collision_cnt 0
save model time:1911_181245 step:94500, var:1.0879784712602345 collision_cnt 0
save model time:1911_181246 step:94850, var:1.08645636407989 collision_cnt 0
save model time:1911_181246 step:95200, var:1.0849363863628836 collision_cnt 0
save model time:1911_181246 step:95550, var:1.0834185351300474 collision_cnt 0
save model time:1911_181246 step:95900, var:1.0819028074063821 collision_cnt 0
save model time:1911_181246 step:96250, var:1.080389200221051 collision_cnt 0
save model time:1911_181247 step:96600, var:1.0788777106073666 collision_cnt 0
save model time:1911_181247 step:96950, var:1.077368335602797 collision_cnt 0
save model time:1911_181247 step:97300, var:1.0758610722489577 collision_cnt 0
save model time:1911_181247 step:97650, var:1.0743559175915982 collision_cnt 0
save model time:1911_181247 step:98000, var:1.0728528686806047 collision_cnt 0
save model time:1911_181248 step:98350, var:1.0713519225699895 collision_cnt 0
save model time:1911_181248 step:98700, var:1.0698530763178848 collision_cnt 0
save model time:1911_181248 step:99050, var:1.0683563269865402 collision_cnt 0
save model time:1911_181248 step:99400, var:1.0668616716423125 collision_cnt 0
save model time:1911_181248 step:99750, var:1.0653691073556686 collision_cnt 0
save model time:1911_181248 step:100100, var:1.0638786312011668 collision_cnt 0
save model time:1911_181249 step:100450, var:1.0623902402574665 collision_cnt 0
save model time:1911_181249 step:100800, var:1.0609039316073046 collision_cnt 0
save model time:1911_181249 step:101150, var:1.0594197023375065 collision_cnt 0
save model time:1911_181249 step:101500, var:1.05793754953897 collision_cnt 0
save model time:1911_181249 step:101850, var:1.0564574703066616 collision_cnt 0
save model time:1911_181249 step:102200, var:1.054979461739616 collision_cnt 0
save model time:1911_181250 step:102550, var:1.053503520940926 collision_cnt 0
save model time:1911_181250 step:102900, var:1.0520296450177333 collision_cnt 0
save model time:1911_181250 step:103250, var:1.0505578310812294 collision_cnt 0
save model time:1911_181250 step:103600, var:1.049088076246648 collision_cnt 0
save model time:1911_181250 step:103950, var:1.0476203776332553 collision_cnt 0
save model time:1911_181251 step:104300, var:1.0461547323643512 collision_cnt 0
save model time:1911_181251 step:104650, var:1.0446911375672607 collision_cnt 0
save model time:1911_181251 step:105000, var:1.0432295903733244 collision_cnt 0
save model time:1911_181251 step:105350, var:1.041770087917897 collision_cnt 0
save model time:1911_181251 step:105700, var:1.0403126273403436 collision_cnt 0
save model time:1911_181252 step:106050, var:1.0388572057840277 collision_cnt 0
save model time:1911_181252 step:106400, var:1.0374038203963158 collision_cnt 0
save model time:1911_181252 step:106750, var:1.035952468328554 collision_cnt 0
save model time:1911_181252 step:107100, var:1.0345031467360843 collision_cnt 0
save model time:1911_181252 step:107450, var:1.0330558527782256 collision_cnt 0
save model time:1911_181253 step:107800, var:1.0316105836182654 collision_cnt 0
save model time:1911_181253 step:108150, var:1.0301673364234694 collision_cnt 0
save model time:1911_181253 step:108500, var:1.0287261083650578 collision_cnt 0
save model time:1911_181253 step:108850, var:1.0272868966182136 collision_cnt 0
save model time:1911_181253 step:109200, var:1.0258496983620706 collision_cnt 0
save model time:1911_181254 step:109550, var:1.0244145107797071 collision_cnt 0
save model time:1911_181254 step:109900, var:1.0229813310581441 collision_cnt 0
save model time:1911_181254 step:110250, var:1.0215501563883378 collision_cnt 0
save model time:1911_181254 step:110600, var:1.0201209839651755 collision_cnt 0
save model time:1911_181254 step:110950, var:1.0186938109874621 collision_cnt 0
save model time:1911_181254 step:111300, var:1.0172686346579338 collision_cnt 0
save model time:1911_181255 step:111650, var:1.015845452183231 collision_cnt 0
save model time:1911_181255 step:112000, var:1.0144242607739007 collision_cnt 0
save model time:1911_181255 step:112350, var:1.0130050576444027 collision_cnt 0
save model time:1911_181255 step:112700, var:1.0115878400130833 collision_cnt 0
save model time:1911_181255 step:113050, var:1.0101726051021844 collision_cnt 0
save model time:1911_181256 step:113400, var:1.0087593501378356 collision_cnt 0
save model time:1911_181256 step:113750, var:1.0073480723500443 collision_cnt 0
save model time:1911_181256 step:114100, var:1.0059387689726946 collision_cnt 0
save model time:1911_181256 step:114450, var:1.0045314372435412 collision_cnt 0
save model time:1911_181256 step:114800, var:1.0031260744042017 collision_cnt 0
save model time:1911_181257 step:115150, var:1.0017226777001538 collision_cnt 0
save model time:1911_181257 step:115500, var:1.0003212443807283 collision_cnt 0
save model time:1911_181257 step:115850, var:0.9989217716991049 collision_cnt 0
save model time:1911_181257 step:116200, var:0.9975242569123052 collision_cnt 0
save model time:1911_181257 step:116550, var:0.9961286972811901 collision_cnt 0
save model time:1911_181257 step:116900, var:0.9947350900704494 collision_cnt 0
save model time:1911_181258 step:117250, var:0.9933434325486035 collision_cnt 0
save model time:1911_181258 step:117600, var:0.9919537219879898 collision_cnt 0
save model time:1911_181258 step:117950, var:0.990565955664765 collision_cnt 0
save model time:1911_181258 step:118300, var:0.989180130858897 collision_cnt 0
save model time:1911_181258 step:118650, var:0.9877962448541583 collision_cnt 0
save model time:1911_181259 step:119000, var:0.9864142949381198 collision_cnt 0
save model time:1911_181259 step:119350, var:0.9850342784021491 collision_cnt 0
save model time:1911_181259 step:119700, var:0.983656192541402 collision_cnt 0
save model time:1911_181259 step:120050, var:0.9822800346548184 collision_cnt 0
save model time:1911_181259 step:120400, var:0.9809058020451188 collision_cnt 0
save model time:1911_181300 step:120750, var:0.9795334920187958 collision_cnt 0
