save model time:1911_182023 step:51000, var:0.7227484662058418 collision_cnt 0
save model time:1911_182037 step:58000, var:0.6283264515484371 collision_cnt 0
save model time:1911_182050 step:65000, var:0.5462400104257167 collision_cnt 0
save model time:1911_182104 step:72000, var:0.47487758672991087 collision_cnt 0
save model time:1911_182117 step:79000, var:0.41283816284836466 collision_cnt 0
save model time:1911_182131 step:86000, var:0.3589037542867807 collision_cnt 0
save model time:1911_182144 step:93000, var:0.3120154976768907 collision_cnt 0
save model time:1911_182158 step:100000, var:0.2712528627180879 collision_cnt 0
save model time:1911_182213 step:107000, var:0.23581557993299507 collision_cnt 0
save model time:1911_182229 step:114000, var:0.20500792943493745 collision_cnt 0
save model time:1911_182244 step:121000, var:0.17822508225767766 collision_cnt 0
save model time:1911_182300 step:128000, var:0.15494122609455963 collision_cnt 0
save model time:1911_182316 step:135000, var:0.13469924232648978 collision_cnt 0
save model time:1911_182332 step:142000, var:0.11710173167377251 collision_cnt 0
save model time:1911_182348 step:149000, var:0.10180321228354379 collision_cnt 0
save model time:1911_190004 step:156000, var:0.08850333708232831 collision_cnt 0
save model time:1911_190020 step:163000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190036 step:170000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190051 step:177000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190107 step:184000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190123 step:191000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190139 step:198000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190154 step:205000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190210 step:212000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190226 step:219000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190242 step:226000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190258 step:233000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190314 step:240000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190330 step:247000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190345 step:254000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190401 step:261000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190417 step:268000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190433 step:275000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190448 step:282000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190504 step:289000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190520 step:296000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190536 step:303000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190552 step:310000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190608 step:317000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190623 step:324000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190638 step:331000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190654 step:338000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190710 step:345000, var:0.0799994090870214 collision_cnt 0
