save model time:1911_182033 step:51000, var:0.7227484662058418 collision_cnt 0
save model time:1911_182038 step:58000, var:0.6283264515484371 collision_cnt 0
save model time:1911_182044 step:65000, var:0.5462400104257167 collision_cnt 0
save model time:1911_182049 step:72000, var:0.47487758672991087 collision_cnt 0
save model time:1911_182055 step:79000, var:0.41283816284836466 collision_cnt 0
save model time:1911_182100 step:86000, var:0.3589037542867807 collision_cnt 0
save model time:1911_182106 step:93000, var:0.3120154976768907 collision_cnt 0
save model time:1911_182111 step:100000, var:0.2712528627180879 collision_cnt 0
save model time:1911_182117 step:107000, var:0.23581557993299507 collision_cnt 0
save model time:1911_182122 step:114000, var:0.20500792943493745 collision_cnt 0
save model time:1911_182128 step:121000, var:0.17822508225767766 collision_cnt 0
save model time:1911_182133 step:128000, var:0.15494122609455963 collision_cnt 0
save model time:1911_182139 step:135000, var:0.13469924232648978 collision_cnt 0
save model time:1911_182145 step:142000, var:0.11710173167377251 collision_cnt 0
save model time:1911_182150 step:149000, var:0.10180321228354379 collision_cnt 0
save model time:1911_182156 step:156000, var:0.08850333708232831 collision_cnt 0
save model time:1911_182201 step:163000, var:0.0799994090870214 collision_cnt 0
save model time:1911_182207 step:170000, var:0.0799994090870214 collision_cnt 0
save model time:1911_182213 step:177000, var:0.0799994090870214 collision_cnt 0
save model time:1911_182220 step:184000, var:0.0799994090870214 collision_cnt 0
save model time:1911_182227 step:191000, var:0.0799994090870214 collision_cnt 0
save model time:1911_182233 step:198000, var:0.0799994090870214 collision_cnt 0
save model time:1911_182240 step:205000, var:0.0799994090870214 collision_cnt 0
save model time:1911_182247 step:212000, var:0.0799994090870214 collision_cnt 0
save model time:1911_182254 step:219000, var:0.0799994090870214 collision_cnt 0
save model time:1911_182301 step:226000, var:0.0799994090870214 collision_cnt 0
save model time:1911_182308 step:233000, var:0.0799994090870214 collision_cnt 0
save model time:1911_182315 step:240000, var:0.0799994090870214 collision_cnt 0
save model time:1911_182321 step:247000, var:0.0799994090870214 collision_cnt 0
save model time:1911_182328 step:254000, var:0.0799994090870214 collision_cnt 0
save model time:1911_182335 step:261000, var:0.0799994090870214 collision_cnt 0
save model time:1911_182342 step:268000, var:0.0799994090870214 collision_cnt 0
save model time:1911_182349 step:275000, var:0.0799994090870214 collision_cnt 0
save model time:1911_182356 step:282000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190003 step:289000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190009 step:296000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190016 step:303000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190023 step:310000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190030 step:317000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190037 step:324000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190044 step:331000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190051 step:338000, var:0.0799994090870214 collision_cnt 0
save model time:1911_190057 step:345000, var:0.0799994090870214 collision_cnt 0
