save model time:1911_180245 step:264000, var:0.48983815653996143 collision_cnt 0
save model time:1911_180258 step:278000, var:0.46316109538672817 collision_cnt 0
save model time:1911_180311 step:292000, var:0.43793689286092696 collision_cnt 0
save model time:1911_180325 step:306000, var:0.41408642487241737 collision_cnt 0
save model time:1911_180338 step:320000, var:0.3915348765057601 collision_cnt 0
save model time:1911_180351 step:334000, var:0.37021150733838704 collision_cnt 0
save model time:1911_180404 step:348000, var:0.35004942953975815 collision_cnt 0
save model time:1911_180418 step:362000, var:0.3309853980554663 collision_cnt 0
save model time:1911_180431 step:376000, var:0.31295961221811547 collision_cnt 0
save model time:1911_180443 step:390000, var:0.29591552816266303 collision_cnt 0
save model time:1911_180456 step:404000, var:0.2797996814578095 collision_cnt 0
save model time:1911_180509 step:418000, var:0.2645615193970385 collision_cnt 0
save model time:1911_180522 step:432000, var:0.2501532424232724 collision_cnt 0
save model time:1911_180535 step:446000, var:0.23652965418967523 collision_cnt 0
save model time:1911_180548 step:460000, var:0.22364801978630175 collision_cnt 0
save model time:1911_180600 step:474000, var:0.21146793168785205 collision_cnt 0
save model time:1911_180613 step:488000, var:0.19995118300205644 collision_cnt 0
save model time:1911_180626 step:502000, var:0.18906164762105482 collision_cnt 0
save model time:1911_180639 step:516000, var:0.17876516689986116 collision_cnt 0
save model time:1911_180652 step:530000, var:0.16902944250643892 collision_cnt 0
save model time:1911_180705 step:544000, var:0.1598239351072348 collision_cnt 0
save model time:1911_180718 step:558000, var:0.15111976857042944 collision_cnt 0
save model time:1911_180730 step:572000, var:0.14288963938635021 collision_cnt 0
save model time:1911_180743 step:586000, var:0.13510773102094656 collision_cnt 0
save model time:1911_180756 step:600000, var:0.12774963293365443 collision_cnt 0
save model time:1911_180809 step:614000, var:0.12079226400562562 collision_cnt 0
save model time:1911_180822 step:628000, var:0.11421380013813745 collision_cnt 0
save model time:1911_180835 step:642000, var:0.10799360579405001 collision_cnt 0
save model time:1911_180848 step:656000, var:0.10211216926759521 collision_cnt 0
save model time:1911_180900 step:670000, var:0.09655104147942466 collision_cnt 0
save model time:1911_180913 step:684000, var:0.09129277810494885 collision_cnt 0
save model time:1911_180926 step:698000, var:0.08632088485441629 collision_cnt 0
save model time:1911_180939 step:712000, var:0.08161976573309586 collision_cnt 0
save model time:1911_180952 step:726000, var:0.07999974279953889 collision_cnt 0
save model time:1911_181004 step:740000, var:0.07999974279953889 collision_cnt 0
save model time:1911_181017 step:754000, var:0.07999974279953889 collision_cnt 0
save model time:1911_181030 step:768000, var:0.07999974279953889 collision_cnt 0
save model time:1911_181042 step:782000, var:0.07999974279953889 collision_cnt 0
save model time:1911_181055 step:796000, var:0.07999974279953889 collision_cnt 0
save model time:1911_181108 step:810000, var:0.07999974279953889 collision_cnt 0
save model time:1911_181121 step:824000, var:0.07999974279953889 collision_cnt 0
save model time:1911_181138 step:838000, var:0.07999974279953889 collision_cnt 0
