save model time:1911_192236 step:105000, var:0.7674428535534504 collision_cnt 0
save model time:1911_192237 step:120000, var:0.6806604241101791 collision_cnt 0
save model time:1911_192238 step:135000, var:0.6036913508343442 collision_cnt 0
save model time:1911_192238 step:105000, var:0.7674428535534504 collision_cnt 0
save model time:1911_192238 step:150000, var:0.5354259395184233 collision_cnt 0
save model time:1911_192239 step:165000, var:0.47487998016365424 collision_cnt 0
save model time:1911_192240 step:120000, var:0.6806604241101791 collision_cnt 0
save model time:1911_192240 step:180000, var:0.42118055722713704 collision_cnt 0
save model time:1911_192241 step:135000, var:0.6036913508343442 collision_cnt 0
save model time:1911_192241 step:195000, var:0.37355346444596027 collision_cnt 0
save model time:1911_192242 step:210000, var:0.331312042792911 collision_cnt 0
save model time:1911_192242 step:150000, var:0.5354259395184233 collision_cnt 0
save model time:1911_192243 step:225000, var:0.2938472806360229 collision_cnt 0
save model time:1911_192244 step:165000, var:0.47487998016365424 collision_cnt 0
save model time:1911_192244 step:240000, var:0.2606190333719845 collision_cnt 0
save model time:1911_192245 step:180000, var:0.42118055722713704 collision_cnt 0
save model time:1911_192245 step:255000, var:0.23114823594328543 collision_cnt 0
save model time:1911_192246 step:270000, var:0.20500999596384792 collision_cnt 0
save model time:1911_192246 step:195000, var:0.37355346444596027 collision_cnt 0
save model time:1911_192247 step:285000, var:0.18182746787394496 collision_cnt 0
save model time:1911_192248 step:210000, var:0.331312042792911 collision_cnt 0
save model time:1911_192248 step:300000, var:0.16126641980560133 collision_cnt 0
save model time:1911_192249 step:315000, var:0.14303041482679513 collision_cnt 0
save model time:1911_192249 step:225000, var:0.2938472806360229 collision_cnt 0
save model time:1911_192250 step:330000, var:0.12685653709052408 collision_cnt 0
save model time:1911_192250 step:240000, var:0.2606190333719845 collision_cnt 0
save model time:1911_192251 step:345000, var:0.11251160127087052 collision_cnt 0
save model time:1911_192252 step:360000, var:0.09978879063600866 collision_cnt 0
save model time:1911_192252 step:255000, var:0.23114823594328543 collision_cnt 0
save model time:1911_192253 step:375000, var:0.08850467528787442 collision_cnt 0
save model time:1911_192253 step:270000, var:0.20500999596384792 collision_cnt 0
save model time:1911_192253 step:390000, var:0.07999970719461336 collision_cnt 0
save model time:1911_192254 step:405000, var:0.07999970719461336 collision_cnt 0
save model time:1911_192254 step:285000, var:0.18182746787394496 collision_cnt 0
save model time:1911_192255 step:420000, var:0.07999970719461336 collision_cnt 0
save model time:1911_192256 step:300000, var:0.16126641980560133 collision_cnt 0
save model time:1911_192256 step:435000, var:0.07999970719461336 collision_cnt 0
save model time:1911_192257 step:315000, var:0.14303041482679513 collision_cnt 0
save model time:1911_192257 step:450000, var:0.07999970719461336 collision_cnt 0
save model time:1911_192258 step:465000, var:0.07999970719461336 collision_cnt 0
save model time:1911_192258 step:330000, var:0.12685653709052408 collision_cnt 0
save model time:1911_192259 step:480000, var:0.07999970719461336 collision_cnt 0
save model time:1911_192300 step:345000, var:0.11251160127087052 collision_cnt 0
save model time:1911_192300 step:495000, var:0.07999970719461336 collision_cnt 0
save model time:1911_192301 step:510000, var:0.07999970719461336 collision_cnt 0
save model time:1911_192301 step:360000, var:0.09978879063600866 collision_cnt 0
save model time:1911_192302 step:525000, var:0.07999970719461336 collision_cnt 0
save model time:1911_192303 step:375000, var:0.08850467528787442 collision_cnt 0
save model time:1911_192303 step:540000, var:0.07999970719461336 collision_cnt 0
save model time:1911_192304 step:555000, var:0.07999970719461336 collision_cnt 0
save model time:1911_192304 step:390000, var:0.07999970719461336 collision_cnt 0
save model time:1911_192305 step:570000, var:0.07999970719461336 collision_cnt 0
save model time:1911_192305 step:405000, var:0.07999970719461336 collision_cnt 0
save model time:1911_192306 step:585000, var:0.07999970719461336 collision_cnt 0
save model time:1911_192307 step:600000, var:0.07999970719461336 collision_cnt 0
