save model time:1911_201055 step:120700, var:1.1 collision_cnt 0
save model time:1911_201055 step:120701, var:1.1 collision_cnt 0
save model time:1911_201055 step:120702, var:1.1 collision_cnt 0
save model time:1911_201055 step:120703, var:1.1 collision_cnt 0
save model time:1911_201055 step:120704, var:1.1 collision_cnt 0
save model time:1911_201055 step:120705, var:1.1 collision_cnt 0
save model time:1911_201055 step:120706, var:1.1 collision_cnt 0
save model time:1911_201055 step:120707, var:1.1 collision_cnt 0
save model time:1911_201055 step:120708, var:1.1 collision_cnt 0
save model time:1911_201055 step:120709, var:1.1 collision_cnt 0
save model time:1911_201055 step:120710, var:1.1 collision_cnt 0
save model time:1911_201055 step:120711, var:1.1 collision_cnt 0
save model time:1911_201055 step:120712, var:1.1 collision_cnt 0
save model time:1911_201055 step:120713, var:1.1 collision_cnt 0
save model time:1911_201055 step:120714, var:1.1 collision_cnt 0
save model time:1911_201055 step:120715, var:1.1 collision_cnt 0
save model time:1911_201055 step:120716, var:1.1 collision_cnt 0
save model time:1911_201055 step:120717, var:1.1 collision_cnt 0
save model time:1911_201055 step:120718, var:1.1 collision_cnt 0
save model time:1911_201055 step:120719, var:1.1 collision_cnt 0
save model time:1911_201055 step:120720, var:1.1 collision_cnt 0
save model time:1911_201055 step:120721, var:1.1 collision_cnt 0
save model time:1911_201055 step:120722, var:1.1 collision_cnt 0
save model time:1911_201055 step:120723, var:1.1 collision_cnt 0
save model time:1911_201055 step:120724, var:1.1 collision_cnt 0
save model time:1911_201055 step:120725, var:1.1 collision_cnt 0
save model time:1911_201055 step:120726, var:1.1 collision_cnt 0
save model time:1911_201055 step:120727, var:1.1 collision_cnt 0
save model time:1911_201055 step:120728, var:1.1 collision_cnt 0
save model time:1911_201055 step:120729, var:1.1 collision_cnt 0
save model time:1911_201055 step:120730, var:1.1 collision_cnt 0
save model time:1911_201055 step:120731, var:1.1 collision_cnt 0
save model time:1911_201056 step:120732, var:1.1 collision_cnt 0
save model time:1911_201056 step:120733, var:1.1 collision_cnt 0
save model time:1911_201056 step:120734, var:1.1 collision_cnt 0
save model time:1911_201056 step:120736, var:1.1 collision_cnt 0
save model time:1911_201056 step:120737, var:1.1 collision_cnt 0
save model time:1911_201056 step:120738, var:1.1 collision_cnt 0
save model time:1911_201056 step:120739, var:1.1 collision_cnt 0
save model time:1911_201056 step:120740, var:1.1 collision_cnt 0
save model time:1911_201056 step:120741, var:1.1 collision_cnt 0
save model time:1911_201056 step:120742, var:1.1 collision_cnt 0
save model time:1911_201056 step:120743, var:1.1 collision_cnt 0
save model time:1911_201056 step:120744, var:1.1 collision_cnt 0
save model time:1911_201056 step:120745, var:1.1 collision_cnt 0
