save model time:1911_161846 step:90000, var:0.4491491486100748 collision_cnt 0
save model time:1911_161852 step:95000, var:0.427233198057808 collision_cnt 0
save model time:1911_161858 step:100000, var:0.4063866225452039 collision_cnt 0
save model time:1911_161904 step:105000, var:0.3865572425889805 collision_cnt 0
save model time:1911_161909 step:110000, var:0.3676954247709635 collision_cnt 0
save model time:1911_161915 step:115000, var:0.349753957504439 collision_cnt 0
save model time:1911_161921 step:120000, var:0.33268793286240766 collision_cnt 0
save model time:1911_161927 step:125000, var:0.31645463417195824 collision_cnt 0
save model time:1911_161933 step:130000, var:0.3010134290933992 collision_cnt 0
save model time:1911_161939 step:135000, var:0.28632566791652947 collision_cnt 0
save model time:1911_161945 step:140000, var:0.27235458681947705 collision_cnt 0
save model time:1911_161951 step:145000, var:0.25906521584796366 collision_cnt 0
save model time:1911_161956 step:150000, var:0.24642429138466176 collision_cnt 0
save model time:1911_162002 step:155000, var:0.23440017288955545 collision_cnt 0
save model time:1911_162008 step:160000, var:0.22296276370290227 collision_cnt 0
save model time:1911_162014 step:165000, var:0.21208343571256533 collision_cnt 0
save model time:1911_162020 step:170000, var:0.20173495769715546 collision_cnt 0
save model time:1911_162026 step:175000, var:0.19189142716562432 collision_cnt 0
save model time:1911_162032 step:180000, var:0.18252820552270246 collision_cnt 0
save model time:1911_162038 step:185000, var:0.17362185639789907 collision_cnt 0
save model time:1911_162044 step:190000, var:0.1651500869836984 collision_cnt 0
save model time:1911_162049 step:195000, var:0.1570916922361232 collision_cnt 0
save model time:1911_162055 step:200000, var:0.14942650179799613 collision_cnt 0
save model time:1911_162101 step:205000, var:0.14213532951204774 collision_cnt 0
save model time:1911_162107 step:210000, var:0.1351999253974994 collision_cnt 0
save model time:1911_162113 step:215000, var:0.12860292996992018 collision_cnt 0
save model time:1911_162119 step:220000, var:0.12232783079001676 collision_cnt 0
save model time:1911_162125 step:225000, var:0.11635892113259806 collision_cnt 0
save model time:1911_162131 step:230000, var:0.11068126067226178 collision_cnt 0
save model time:1911_162136 step:235000, var:0.10528063808739813 collision_cnt 0
save model time:1911_162142 step:240000, var:0.10014353548890782 collision_cnt 0
save model time:1911_162148 step:245000, var:0.09525709458459826 collision_cnt 0
save model time:1911_162154 step:250000, var:0.09060908449456685 collision_cnt 0
save model time:1911_162200 step:255000, var:0.08618787113701235 collision_cnt 0
save model time:1911_162206 step:260000, var:0.08198238810784661 collision_cnt 0
save model time:1911_162212 step:265000, var:0.07798210898121705 collision_cnt 0
save model time:1911_162218 step:270000, var:0.07417702096160789 collision_cnt 0
save model time:1911_162224 step:275000, var:0.0705575998215706 collision_cnt 0
save model time:1911_162229 step:280000, var:0.06711478606235186 collision_cnt 0
save model time:1911_162235 step:285000, var:0.06383996223774882 collision_cnt 0
save model time:1911_162241 step:290000, var:0.06072493138443261 collision_cnt 0
save model time:1911_162247 step:295000, var:0.05776189650475085 collision_cnt 0
save model time:1911_162253 step:300000, var:0.05494344105065345 collision_cnt 0
save model time:1911_162259 step:305000, var:0.052262510359893384 collision_cnt 0
save model time:1911_162305 step:310000, var:0.04971239399803625 collision_cnt 0
save model time:1911_162311 step:315000, var:0.047286708962080405 collision_cnt 0
save model time:1911_162317 step:320000, var:0.044979383703645896 collision_cnt 0
save model time:1911_162323 step:325000, var:0.042784642931741806 collision_cnt 0
save model time:1911_162329 step:330000, var:0.04069699315707315 collision_cnt 0
